[00:00] 因為我們現在有人臉辨識跟掌機板辨識
[00:05] 人臉辨識跟掌機板辨識要當它開始辨識有感應的時候
[00:09] 鏡頭的兩側會亮紅燈
[00:12] 有紅燈
[00:14] 紅燈亮起來,感應成功就會顯示已開鎖
[00:18] 那當它在上鎖的時候
[00:21] 像我們這樣子關上門
[00:25] 上鎖的時候,這個紅燈不會馬上開
[00:28] 這個叫做防回頭機制
[00:31] 防回頭機制就是
[00:33] 我一關上門,紅燈不會馬上亮
[00:36] 我摸一摸它才會馬上亮
[00:38] 因為當我們出家門的時候
[00:42] 如果紅燈馬上亮,開始感應
[00:44] 那它感應到你的人臉
[00:46] 你又會再開一次門
[00:48] 所以我們要有個防回頭機制
[00:50] 讓你的門不會再次開啟
[00:52] 中間會落在大概20秒左右
[00:56] 那什麼意思呢?
[00:58] 當你今天是住集合室住宅
[01:01] 或是你住你的女鑽石透天
[01:04] 你可能前面的涼亭都會有人
[01:06] 等等的情形發生
[01:07] 只要有生物,貓狗,什麼都算
[01:10] 只要有生物經過
[01:12] 那它的紅燈感應器就會開始亮
[01:16] 像這樣開始亮
[01:18] 那樣的時候它就會嘗試感應
[01:20] 那因為是鄰居或其他人
[01:22] 或是打掃人員
[01:25] 它會感應失敗
[01:27] 感應失敗它就會熄滅
[01:29] 熄滅之後呢
[01:31] 它又會再等20秒
[01:33] 就是我剛講的防回頭機制
[01:35] 所以這個時候如果你剛好從電梯出來
[01:39] 你到你的鎖前面
[01:41] 發現它沒有自動開啟紅色的燈
[01:45] 去感應你的人臉
[01:47] 代表就是你這20秒左右
[01:49] 之內有人或是有東西經過
[01:53] 所以你才沒有辦法馬上
[01:55] 站到鎖前面的時候
[01:56] 開啟它的紅外線感應
[01:58] 紅燈感應,進行開鎖
[02:00] 所以這是正常現象
[02:02] 那這時候你就要摸螢幕
[02:04] 讓它的紅外線燈開啟
[02:06] 這樣才能夠進行開始感應
[02:08] 但是我們現在
[02:10] 有做軟體更新
[02:12] 在AI99系列裡面
[02:14] 有螢幕的系列裡面
[02:16] 我們可以進入設定
[02:18] 輸入防禮者密碼進行驗證之後
[02:20] 按進行驗證之後
[02:22] 我們進到系統設定裡面
[02:24] 最下面
[02:26] 不是,進到系統設定裡面
[02:28] 有一個
[02:30] 有一個功能設定
[02:32] 進到功能設定
[02:34] 跑到最下面有一個防回頭時間
[02:36] 去可以進入做更改
[02:38] 你可以決定5秒、10秒
[02:40] 還是15秒
[02:42] 然後甚至你可以關閉
[02:44] 但是關閉的時候
[02:46] 還是會有2-3秒的防回頭的時間
[02:48] 因為畢竟它要等在門衫上鎖
[02:50] 所以我們現在做這個更新
[02:52] 你可以依照你的環境、需求
[02:54] 進行做更改
[02:56] 這個是我們可以指的是
[02:58] 系統更新的部分
[03:00] 這也是我們這個品牌現在
[03:02] 最常遇到的問題就是
[03:04] 客人會問說,為什麼
[03:06] 我走到鎖前面
[03:08] 問題就會是
[03:10] 我走到鎖前面
[03:12] 為什麼
[03:14] 為什麼不會馬上
[03:16] 有人臉
[03:18] 或者是掌機麥的
[03:20] 感應開啟
[03:22] 原因就是因為
[03:24] 在你到你鎖前面
[03:26] 之前
[03:28] 可能有人,你的鄰居開了一個門
[03:30] 拿了一個東西
[03:32] 或者是有人經過一下
[03:34] 導致他先開啟感應
[03:36] 嘗試感應別人
[03:38] 但是因為失敗了
[03:40] 所以他休息了
[03:42] 所以這個情況發生
[03:44] 如果你是集合式住宅
[03:46] 就建議你可以關閉
[03:48] 就是進入剛剛的設定裡面
[03:50] 關閉這個返回頭機制的時間
[03:52] 這樣你可能會運用得比較順暢
[03:58] 這個是一個
[04:00] 一個最常遇到的
[04:04] 然後再來
[04:06] 我們在系統更新裡面
[04:08] 我們AI99系列
[04:10] 這個開門
[04:16] 你開門之後,如果你都不關門
[04:18] 會有未關門的警報
[04:20] 那有些人會覺得很吵
[04:22] 我們就可以進入
[04:24] 系統設定
[04:26] 我們就可以進入
[04:30] 功能,設定鍵
[04:32] 然後輸入
[04:34] 管理者密碼或者是指紋
[04:36] 或者是卡片或者是人臉
[04:38] 管理者驗證方式進去之後
[04:40] 進入系統設定
[04:42] 去高級設定,滑到最下面
[04:44] 可以把未關門警報聲音
[04:46] 給打開或者是關閉
[04:48] 這邊可以蓋
[04:50] 好,就這樣
[04:52] 這個是上面沒有的
[04:54] 影片上面沒有
[04:56] 這是最新的
